분류,상품명,설명,비율,제목
보장성보험 상해보험 상품,(무)영 HANA 상해보험 여행레저형,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,(무)영 HANA 상해보험 여행레저형,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,(무)영 HANA 상해보험 여행레저형,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,null,청약철회 기간 / 청약후
보장성보험 상해보험 상품,(무)영 HANA 상해보험 여행레저형,보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,86.1,보험가격지수 / 남성 기준
보장성보험 상해보험 상품,(무)영 HANA 상해보험 여행레저형,이 상품은 보험료적립금 적용이율이 변동되지 않습니다.,null,금리확정형 / 적용금리 고정
보장성보험 상해보험 상품,(무)하나원큐 교통사고재해보험 대중교통이용중 교통재해형,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,(무)하나원큐 교통사고재해보험 대중교통이용중 교통재해형,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,(무)하나원큐 교통사고재해보험 대중교통이용중 교통재해형,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,null,청약철회 기간 / 청약후
보장성보험 상해보험 상품,(무)하나원큐 교통사고재해보험 대중교통이용중 교통재해형,보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,117.8,보험가격지수 / 남성 기준
보장성보험 상해보험 상품,(무)하나원큐 교통사고재해보험 대중교통이용중 교통재해형,이 상품은 보험료적립금 적용이율이 변동되지 않습니다.,null,금리확정형 / 적용금리 고정
보장성보험 상해보험 상품,신한대중교통재해보장보험M(무배당),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,신한대중교통재해보장보험M(무배당),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,신한대중교통재해보장보험M(무배당),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,null,청약철회 기간 / 청약후
보장성보험 상해보험 상품,신한대중교통재해보장보험M(무배당),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,98.5,보험가격지수 / 남성 기준
보장성보험 상해보험 상품,(무)m특정감염병사망보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,(무)m특정감염병사망보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,(무)m특정감염병사망보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,null,청약철회 기간 / 청약후
보장성보험 상해보험 상품,(무)m특정감염병사망보험,보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,80.4,보험가격지수 / 남성 기준
보장성보험 상해보험 상품,(무)m특정감염병사망보험,이 상품은 보험료적립금 적용이율이 변동되지 않습니다.,null,금리확정형 / 적용금리 고정
보장성보험 상해보험 상품,(무)흥국화재 다이렉트 실속보험(21.08),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,(무)흥국화재 다이렉트 실속보험(21.08),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,(무)흥국화재 다이렉트 실속보험(21.08),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,null,청약철회 기간 / 청약후
보장성보험 상해보험 상품,(무)흥국화재 다이렉트 실속보험(21.08),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,95.2,보험가격지수 / 남성 기준
보장성보험 상해보험 상품,원데이 귀가안심보험(II),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,원데이 귀가안심보험(II),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,원데이 귀가안심보험(II),이 상품은 중도해지시 환급금이 없습니다.,null,해지환급금 / 납입기간 중 해지시
보장성보험 상해보험 상품,원데이 레저보험(II),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,원데이 레저보험(II),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,Chubb One-day레저보험 (1종 A형),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,Chubb One-day레저보험 (1종 A형),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,Chubb One-day레저보험 (1종 A형),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,null,청약철회 기간 / 청약후
보장성보험 상해보험 상품,Chubb One-day레저보험 (1종 A형),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,null,보험가격지수 / 남성 기준
보장성보험 상해보험 상품,Chubb One-day레저보험 (4종),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,Chubb One-day레저보험 (4종),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,Chubb One-day레저보험 (4종),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,null,청약철회 기간 / 청약후
보장성보험 상해보험 상품,Chubb One-day레저보험 (4종),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,null,보험가격지수 / 남성 기준
보장성보험 상해보험 상품,Chubb One-day레저보험 (2종 B형),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,Chubb One-day레저보험 (2종 B형),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,Chubb One-day레저보험 (2종 B형),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,null,청약철회 기간 / 청약후
보장성보험 상해보험 상품,Chubb One-day레저보험 (2종 B형),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,null,보험가격지수 / 남성 기준
보장성보험 상해보험 상품,Chubb One-day레저보험 (2종 A형),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,Chubb One-day레저보험 (2종 A형),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,Chubb One-day레저보험 (2종 A형),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,null,청약철회 기간 / 청약후
보장성보험 상해보험 상품,Chubb One-day레저보험 (2종 A형),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,null,보험가격지수 / 남성 기준
보장성보험 상해보험 상품,Chubb One-day레저보험 (3종 B형),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,Chubb One-day레저보험 (3종 B형),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,Chubb One-day레저보험 (3종 B형),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,null,청약철회 기간 / 청약후
보장성보험 상해보험 상품,Chubb One-day레저보험 (3종 B형),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,null,보험가격지수 / 남성 기준
보장성보험 상해보험 상품,스마트ON 레저상해보험(자가운전-스포츠1형),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,스마트ON 레저상해보험(자가운전-스포츠1형),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,스마트ON 레저상해보험(자가운전-스포츠1형),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,null,청약철회 기간 / 청약후
보장성보험 상해보험 상품,(무)m아나필락시스쇼크진단보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,(무)m아나필락시스쇼크진단보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,(무)m아나필락시스쇼크진단보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,null,청약철회 기간 / 청약후
보장성보험 상해보험 상품,(무)m아나필락시스쇼크진단보험,보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,91.7,보험가격지수 / 남성 기준
보장성보험 상해보험 상품,(무)m아나필락시스쇼크진단보험,이 상품은 보험료적립금 적용이율이 변동되지 않습니다.,null,금리확정형 / 적용금리 고정
보장성보험 상해보험 상품,Chubb One-day레저보험 (3종 A형),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,Chubb One-day레저보험 (3종 A형),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,Chubb One-day레저보험 (3종 A형),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,null,청약철회 기간 / 청약후
보장성보험 상해보험 상품,Chubb One-day레저보험 (3종 A형),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,null,보험가격지수 / 남성 기준
보장성보험 상해보험 상품,(무)메트라이프 교통재해사망보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,(무)메트라이프 교통재해사망보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,(무)메트라이프 교통재해사망보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,null,청약철회 기간 / 청약후
보장성보험 상해보험 상품,(무)메트라이프 교통재해사망보험,보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,111.7,보험가격지수 / 남성 기준
보장성보험 상해보험 상품,(무)메트라이프 교통재해사망보험,이 상품은 보험료적립금 적용이율이 변동되지 않습니다.,null,금리확정형 / 적용금리 고정
보장성보험 상해보험 상품,무배당 안심되는 아나필락시스쇼크진단보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,무배당 안심되는 아나필락시스쇼크진단보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,무배당 안심되는 아나필락시스쇼크진단보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,null,청약철회 기간 / 청약후
보장성보험 상해보험 상품,무배당 안심되는 아나필락시스쇼크진단보험,보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,97.3,보험가격지수 / 남성 기준
보장성보험 상해보험 상품,무배당 안심되는 아나필락시스쇼크진단보험,이 상품은 보험료적립금 적용이율이 변동되지 않습니다.,null,금리확정형 / 적용금리 고정
보장성보험 상해보험 상품,(무)퍼플 휴일교통재해장해보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,(무)퍼플 휴일교통재해장해보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,(무)퍼플 휴일교통재해장해보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,null,청약철회 기간 / 청약후
보장성보험 상해보험 상품,(무)퍼플 휴일교통재해장해보험,보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,98.5,보험가격지수 / 남성 기준
보장성보험 상해보험 상품,(무)퍼플 휴일교통재해장해보험,이 상품은 보험료적립금 적용이율이 변동되지 않습니다.,null,금리확정형 / 적용금리 고정
보장성보험 상해보험 상품,스마트ON 레저상해보험(자가용외기타-골프형),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,스마트ON 레저상해보험(자가용외기타-골프형),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,스마트ON 레저상해보험(자가용외기타-골프형),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,null,청약철회 기간 / 청약후
보장성보험 상해보험 상품,올바른#365#생활#교통상해보험 무배당 2104,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,올바른#365#생활#교통상해보험 무배당 2104,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,올바른#365#생활#교통상해보험 무배당 2104,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,null,청약철회 기간 / 청약후
보장성보험 상해보험 상품,올바른#365#생활#교통상해보험 무배당 2104,보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,92.6,보험가격지수 / 남성 기준
보장성보험 상해보험 상품,올바른#365#생활#교통상해보험 무배당 2104,이 상품은 보험료적립금 적용이율이 변동되지 않습니다.,null,금리확정형 / 적용금리 고정
보장성보험 상해보험 상품,삼성 인터넷상해보험7.0(무배당),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,삼성 인터넷상해보험7.0(무배당),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,삼성 인터넷상해보험7.0(무배당),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,null,청약철회 기간 / 청약후
보장성보험 상해보험 상품,삼성 인터넷상해보험7.0(무배당),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,108.6,보험가격지수 / 남성 기준
보장성보험 상해보험 상품,삼성 인터넷상해보험7.0(무배당),이 상품은 보험료적립금 적용이율이 변동되지 않습니다.,null,금리확정형 / 적용금리 고정
보장성보험 상해보험 상품,(무)라이프플래닛e상해보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,(무)라이프플래닛e상해보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,(무)라이프플래닛e상해보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,null,청약철회 기간 / 청약후
보장성보험 상해보험 상품,(무)라이프플래닛e상해보험,보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,83.2,보험가격지수 / 남성 기준
보장성보험 상해보험 상품,(무)라이프플래닛e상해보험,이 상품은 보험료적립금 적용이율이 변동되지 않습니다.,null,금리확정형 / 적용금리 고정
보장성보험 상해보험 상품,무배당 건강e제일 상해보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,무배당 건강e제일 상해보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,무배당 건강e제일 상해보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,null,청약철회 기간 / 청약후
보장성보험 상해보험 상품,무배당 건강e제일 상해보험,보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,107.6,보험가격지수 / 남성 기준
보장성보험 상해보험 상품,무배당 건강e제일 상해보험,이 상품은 보험료적립금 적용이율이 변동되지 않습니다.,null,금리확정형 / 적용금리 고정
보장성보험 상해보험 상품,(무)메트라이프 mini 재해보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,(무)메트라이프 mini 재해보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,(무)메트라이프 mini 재해보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,null,청약철회 기간 / 청약후
보장성보험 상해보험 상품,(무)메트라이프 mini 재해보험,보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,84.8,보험가격지수 / 남성 기준
보장성보험 상해보험 상품,(무)메트라이프 mini 재해보험,이 상품은 보험료적립금 적용이율이 변동되지 않습니다.,null,금리확정형 / 적용금리 고정
보장성보험 상해보험 상품,신한뼈펙트상해보험mini(무배당),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,신한뼈펙트상해보험mini(무배당),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,신한뼈펙트상해보험mini(무배당),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,null,청약철회 기간 / 청약후
보장성보험 상해보험 상품,신한뼈펙트상해보험mini(무배당),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,78.3,보험가격지수 / 남성 기준
보장성보험 상해보험 상품,Chubb One-day레저보험 (1종 B형),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,Chubb One-day레저보험 (1종 B형),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,Chubb One-day레저보험 (1종 B형),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,null,청약철회 기간 / 청약후
보장성보험 상해보험 상품,Chubb One-day레저보험 (1종 B형),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,null,보험가격지수 / 남성 기준
보장성보험 상해보험 상품,부모님 안심 Gift보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,부모님 안심 Gift보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,부모님 안심 Gift보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,null,청약철회 기간 / 청약후
보장성보험 상해보험 상품,(무)AIG다이렉트 참쉬운건강보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,(무)AIG다이렉트 참쉬운건강보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,(무)AIG다이렉트 참쉬운건강보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,null,청약철회 기간 / 청약후
보장성보험 상해보험 상품,(무)AIG다이렉트 참쉬운건강보험,보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,97.2,보험가격지수 / 남성 기준
보장성보험 상해보험 상품,(무)AIG다이렉트 참쉬운건강보험,이 상품은 보험료적립금 적용이율이 변동되지 않습니다.,null,금리확정형 / 적용금리 고정
보장성보험 상해보험 상품,(무)AIG다이렉트 참쉬운건강보험,이 상품은 위험률 변경 등에 따라 갱신시 보험료가 변동될 수 있습니다.,null,보험료갱신형 / 보험료 변동가능
보장성보험 상해보험 상품,효밍아웃NH부모님안전보험(무배당),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),null,예금자보호 / 1인당 / 최고 5천만원
보장성보험 상해보험 상품,효밍아웃NH부모님안전보험(무배당),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,null,보장성보험 / 상해，질병 등
보장성보험 상해보험 상품,효밍아웃NH부모님안전보험(무배당),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,null,청약철회 기간 / 청약후
보장성보험 상해보험 상품,효밍아웃NH부모님안전보험(무배당),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,75.9,보험가격지수 / 남성 기준
보장성보험 상해보험 상품,효밍아웃NH부모님안전보험(무배당),이 상품은 보험료적립금 적용이율이 변동되지 않습니다.,null,금리확정형 / 적용금리 고정
